1, [H]Oc1c([H])c(C([H])([H])[H])oc(=O)c1C(=O)/C([H])=C(\[H])c1c([H])c([H])c(Br)c([H])c1[H], compact, 6.359372478623712
33, [H]Oc1c([H])c([H])c([H])c(-c2c([H])nc3c([H])c([H])c(N([H])C([H])([H])C([H])([H])C([H])([H])[H])nn23)c1[H], compact, 4.791992530431581
33, [H]Oc1c([H])c([H])c([H])c(-c2c([H])nc3c([H])c([H])c(N([H])C([H])([H])C([H])([H])C([H])([H])[H])nn23)c1[H], open, 5.112518839360005
47, [H]c1nc(C([H])([H])C(=O)c2nn3c(c2[H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c([H])c([H])c1C#N, compact, 5.726808365478926
47, [H]c1nc(C([H])([H])C(=O)c2nn3c(c2[H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c([H])c([H])c1C#N, open, 10.501991480634999
59, [H]c1nc(N([H])C(=O)C([H])([H])[H])nc(-c2c([H])c3c(n2[H])C([H])([H])C([H])([H])N([H])C3=O)c1[H], compact, 4.2593516170474945
59, [H]c1nc(N([H])C(=O)C([H])([H])[H])nc(-c2c([H])c3c(n2[H])C([H])([H])C([H])([H])N([H])C3=O)c1[H], open, 3.5129840590778882
66, [H]/C(=N\OC(=O)N([H])c1c([H])c([H])c(Cl)c(Cl)c1[H])c1c([H])c([H])nc([H])c1[H], compact, 3.1010337928060387
66, [H]/C(=N\OC(=O)N([H])c1c([H])c([H])c(Cl)c(Cl)c1[H])c1c([H])c([H])nc([H])c1[H], open, 3.771553877900421
70, [H]c1c([H])c(Cl)c([H])c(N([H])c2c([H])c(C([H])([H])[H])nc3nc(C([H])([H])N([H])[H])nn23)c1[H], compact, 4.578508946248071
70, [H]c1c([H])c(Cl)c([H])c(N([H])c2c([H])c(C([H])([H])[H])nc3nc(C([H])([H])N([H])[H])nn23)c1[H], open, 3.7034478034875065
76, [H]/C(=N\N([H])C(=O)c1c([H])c([H])nc([H])c1[H])c1c([H])c([H])c([N+](=O)[O-])c([H])c1[H], compact, 4.680107164611888
76, [H]/C(=N\N([H])C(=O)c1c([H])c([H])nc([H])c1[H])c1c([H])c([H])c([N+](=O)[O-])c([H])c1[H], open, 7.347547375457642
87, [H]c1c([H])c(C(=O)N([H])C(=S)N([H])c2nnn(C([H])([H])[H])n2)c([H])c([H])c1OC([H])([H])[H], compact, 5.432720565946001
87, [H]c1c([H])c(C(=O)N([H])C(=S)N([H])c2nnn(C([H])([H])[H])n2)c([H])c([H])c1OC([H])([H])[H], open, 4.096653887291749
90, [H]c1c([H])c([H])c2c(C#N)n(C([H])([H])C([H])([H])C([H])([H])N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c([H])c2c1[H], compact, 4.034376277081831
90, [H]c1c([H])c([H])c2c(C#N)n(C([H])([H])C([H])([H])C([H])([H])N3C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])c([H])c2c1[H], open, 4.382788096678932
91, [H]c1c(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c2c(C([H])([H])C([H])([H])N([H])[H])c([H])n([H])c2c1[H], compact, 2.69134869436849
91, [H]c1c(OC([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])c([H])c2c(C([H])([H])C([H])([H])N([H])[H])c([H])n([H])c2c1[H], open, 2.396440760824746
99, [H]c1oc(C(=O)N([H])C(=S)N2c3c([H])c([H])c([H])c([H])c3C([H])([H])[C@@]2([H])C([H])([H])[H])c([H])c1[H], compact, 6.547093742207289
99, [H]c1oc(C(=O)N([H])C(=S)N2c3c([H])c([H])c([H])c([H])c3C([H])([H])[C@@]2([H])C([H])([H])[H])c([H])c1[H], open, 5.526764846624206
